strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,id,trade_index
QOL1WGNY,highlow,1994.3932375878164,355.7148932601426,1463.4930709098967,3913,66,29,37,SFSQLFKM,1563.1730781093697
SQMA7W5N,highlow,1971.8259943040077,360.44844882364447,2722.9965773127306,4126,100,45,55,5FHA4QDQ,1613.3121771578246
7A0X8494,highlow,1656.4389302623401,331.8155487846006,941.0370423608578,4528,77,38,39,QZDHWFPE,1613.9661371786904
4V82XORE,highlow,1670.713569498214,338.7770521558556,934.4255662165448,4461,76,38,38,QYYMT4S0,1670.713569498214
HONEX8AH,highlow,1945.7699036320814,356.516987531046,1610.3599995319762,4378,78,37,41,EOBN6BPM,1755.9386935216344
QMWB1AVL,highlow,2244.0648976487164,366.29111059359036,966.6851471899466,3734,67,30,37,4V7QHJE0,1819.5120791746351
REYF7Q7R,highlow,2402.2067288863573,377.047501019323,2269.1200413613556,3810,66,29,37,O8CUK36D,1882.8106793974152
ZTLENNGN,highlow,2267.6419764872653,373.99493346727326,2829.6206540536073,4310,99,45,54,KKTCL4CA,1889.701647072721
A6ZSJHGS,highlow,2247.6717040856615,366.3985266176136,933.0623271690198,3989,72,33,39,UV65SPD2,1901.876057303252
QBNMXTT2,highlow,2456.6070824864237,379.2038165096488,2326.6953363204693,3806,66,29,37,SG9A0RXL,1925.448794381251
N7MU7OQH,highlow,3811.9191690311586,434.7274565477458,3843.4166929763855,3431,76,33,43,F66T80IP,2925.4263390239125
