strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,id
7C0QXOBE,highhigh,204.34727786200185,98.45451601270823,2636.280554385303,4467,81,30,51,BVBR7NUM
805IZTWQ,highhigh,220.91945483712752,107.05157335634698,2403.1781316286474,4565,79,28,51,JS9EEM4A
YDQGHUIC,highhigh,279.46565021324676,172.03381565168098,1426.603706931178,5733,867,318,548,KPNSRLEW
VOFBGFSY,highhigh,287.3686691156496,169.84582532495247,404.5036863080502,4801,499,207,292,EX4GWZQX
ODOS63O4,highlow,2891.16737001065,416.4029495773584,183.86948414510425,4475,154,57,97,6LSRF1YX
QE0XGMFQ,highlow,2893.9904494999337,419.41265576722,248.0440221944838,4515,148,61,87,M9X3QS0N
UYJ34UFG,highlow,2905.429848628588,384.926479356676,398.94299906190525,4773,122,59,63,QDC2BMJX
7ZB34DTV,highlow,3003.6450210254175,420.58470676802915,102.89578011445492,4894,266,103,163,VTLSGWQZ
WPRFBH7K,highlow,3117.88605445154,410.3294341530973,537.9772996598772,4407,315,133,182,U4TLFIQH
CB61SJ3L,highlow,3117.88605445154,410.3294341530973,537.9772996598772,4407,315,133,182,0WM9NQLZ
NZE1813E,highlow,3136.802764905524,412.8727143511313,989.2468982417697,4089,105,48,57,W6IPDFW8
V0I7S3PQ,highlow,3142.0526852439643,418.7420374761014,202.0167236721792,4585,136,57,79,13OE0EJA
2VSP2UWF,highlow,3319.595451412183,424.5439629576767,8479.61472478413,3988,87,38,49,GLH2DW6H
9IQPIYLZ,highlow,3330.6543368155226,427.3833044380577,943.7542780537229,4096,120,52,68,E9KFCE4B
A8V8FATS,highlow,3474.376474040686,419.47313476919993,584.5199751121753,3808,267,112,155,RRMHJR1Q
SM1Q3G8Z,highlow,3474.376474040686,419.47313476919993,584.5199751121753,3808,267,112,155,CCQ6X753
PDZGZRYD,highlow,3482.1531209550385,425.05439012352684,678.4057106451024,4038,108,50,58,MRK1AZP1
8ILLZ2LG,highlow,3503.940401260388,438.46107283637093,101.0629996275989,5021,248,94,154,QLIXU1XY
E4DEVMV8,highlow,3738.923157381147,430.51706800934807,881.4890228596216,4270,105,50,55,M3VH0ZFX
3REDAW2K,highlow,3905.6849401297445,456.92281124717204,53.78486181548937,4720,240,94,146,71AALWIT
EX65VXF3,highlow,4063.7924477297433,447.4146402744403,974.5762273949397,4208,124,55,69,OW1TX0EW
Q8MJ3B7G,highlow,4304.9649063746865,457.0226494074686,53.09708470694139,4545,209,87,122,KPDB8I4U
AMQBIPLF,highlow,4304.9649063746865,457.0226494074686,53.09708470694139,4545,209,87,122,FR3SKJ69
2L45XDDE,highlow,4908.867267232401,468.45899804135513,1398.4494636186198,4184,122,55,67,DVNYRRG5
