strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
G4TI5I1Z,lowhigh,160.77240898353395,56.89547904491864,10.0,787,47,20,27,BTCUSDT,RIRY6E9C,68.41379105682296
ANMTYBFH,lowhigh,168.3354529310219,62.002440526384234,602.0478946999327,874,99,41,58,BTCUSDT,N8E4RVD6,69.71468252698887
UDK9GYPX,lowhigh,131.962570330077,34.97015490836233,14.005156881045991,726,49,26,23,BTCUSDT,M6WZJ3SD,70.02095568534698
ZF78ZCL3,lowhigh,131.962570330077,34.97015490836233,14.005156881045991,726,49,26,23,BTCUSDT,M0HPULDZ,70.02095568534698
YLHJDOQH,lowhigh,131.962570330077,34.97015490836233,14.005156881045991,726,49,26,23,BTCUSDT,YC4SE65F,70.02095568534698
V00CMMLN,lowhigh,131.962570330077,34.97015490836233,14.005156881045991,726,49,26,23,BTCUSDT,TA2CG1VX,70.02095568534698
7N4HB84P,lowhigh,162.75213578741412,57.48708785148018,47.22433087405797,916,109,47,62,BTCUSDT,UBU2R12Y,70.17752644044462
BK21UHAX,lowhigh,169.98370267293754,62.49500405954708,410.9244357531669,885,99,41,58,BTCUSDT,95RM7AYF,70.39729100596402
XYUQKA0Z,lowhigh,157.91240595475978,55.347112321031666,125.65401512316512,851,67,30,37,BTCUSDT,ABAXHMA0,70.70704744242975
M39UW1K9,lowhigh,140.17093596576512,43.02012572578118,10.154199972931186,880,65,33,32,BTCUSDT,WC3JO3HQ,71.16370595184999
3Z3B28DP,lowhigh,140.17093596576512,43.02012572578118,10.154199972931186,880,65,33,32,BTCUSDT,OMY9NE3J,71.16370595184999
WOB54ARU,lowhigh,140.17093596576512,43.02012572578118,10.154199972931186,880,65,33,32,BTCUSDT,MN1P9K9B,71.16370595184999
9QR79268,lowhigh,140.17093596576512,43.02012572578118,10.154199972931186,880,65,33,32,BTCUSDT,KHD2BLZ0,71.16370595184999
8ZB6BAX5,lowhigh,144.64783277965685,43.70110964830938,12.44736795953347,730,53,27,26,BTCUSDT,66Y6WGU1,73.68851858586292
C56JIVWD,lowhigh,144.64783277965685,43.70110964830938,12.44736795953347,730,53,27,26,BTCUSDT,FQ7PSHDM,73.68851858586292
OJXBNGP8,lowhigh,144.64783277965685,43.70110964830938,12.44736795953347,730,53,27,26,BTCUSDT,QW237TY6,73.68851858586292
C1N10TTB,lowhigh,144.64783277965685,43.70110964830938,12.44736795953347,730,53,27,26,BTCUSDT,WCTPB9YO,73.68851858586292
OOD3XZEP,lowhigh,168.9026264392986,61.37632845042205,62.183078818669244,957,108,49,59,BTCUSDT,BXGW9HIS,76.63174718079289
27M4AMKK,lowhigh,165.23354455024898,57.44361742897354,16.342665342774865,783,54,29,25,BTCUSDT,QBJJOEH5,88.73653318439298
9MCXOEAS,lowhigh,165.23354455024898,57.44361742897354,16.342665342774865,783,54,29,25,BTCUSDT,Z8GYT2HR,88.73653318439298
FLKWJXYF,lowhigh,165.23354455024898,57.44361742897354,16.342665342774865,783,54,29,25,BTCUSDT,ZK0XQRP5,88.73653318439298
QCCISUFA,lowhigh,165.23354455024898,57.44361742897354,16.342665342774865,783,54,29,25,BTCUSDT,KXSNE30F,88.73653318439298
HABDKIGP,lowlow,59.010883104578504,-43.88167439089797,62.41324629394087,1218,294,101,193,BTCUSDT,AD9F71X0,20.2724462366069
9S3RVU32,lowlow,57.922214728210214,-50.59071741626271,28.306973161949333,559,71,25,46,BTCUSDT,AW18FSRU,20.395146031059934
NG6Z05L4,lowlow,57.922214728210214,-50.59071741626271,28.306973161949333,559,71,25,46,BTCUSDT,PQEM8DR2,20.395146031059934
4Z7E7OSF,lowlow,59.90399262191383,-42.316354509845276,219.84395969927823,1272,284,97,187,BTCUSDT,LPF21WUX,20.46016649410437
AW01JPVD,lowlow,51.75187312298435,-60.96904062271877,27.44886486804806,868,91,36,55,BTCUSDT,6THAGZIR,20.473268488213588
4O36PZ9Y,lowlow,65.09775438221855,-38.551936741772295,67.51189126824579,554,85,27,58,BTCUSDT,4SJW0IK6,20.678110215528246
G8YX484Y,lowlow,62.271058222105395,-45.118308922888076,22.358743541622687,470,45,15,30,BTCUSDT,KADQKF7L,20.757019407368468
AMJAMY8X,lowlow,76.61516228734625,-25.735102621952034,31.015538793087917,431,25,7,18,BTCUSDT,FZ2PRC0X,21.45224544045695
BX3F24AX,lowlow,61.79483551386724,-41.89077540422609,26.42881464722838,838,109,38,71,BTCUSDT,QBAN22VR,21.54315366538491
