strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
OJ7A38O8,lowlow,298.94931051792565,132.68378865024206,242.98813008037544,1533,39,16,23,BTCUSDT,E7PMHQA7,207.96473775160047
N36WUZCW,lowlow,300.0331215212153,132.78110883185474,728.5056149238452,1600,40,16,24,BTCUSDT,7J63YFU3,200.02208101414354
QXSY7GOW,lowlow,300.0331215212153,132.78110883185474,728.5056149238452,1600,40,16,24,BTCUSDT,Y67YBOYO,200.02208101414354
USYR12TV,lowlow,300.0331215212153,132.78110883185474,728.5056149238452,1600,40,16,24,BTCUSDT,9RZHVEDT,200.02208101414354
FVQLEYIT,lowlow,300.2515939228835,134.76964141733424,99.67459903504987,1541,34,14,20,BTCUSDT,AHC7QXLI,210.17611574601847
616WXT7Z,lowlow,300.2515939228835,134.76964141733424,99.67459903504987,1541,34,14,20,BTCUSDT,USIFL8RM,210.17611574601847
D9X91NRF,lowlow,300.40280322181366,144.88212251179698,630.381679191475,1527,46,15,31,BTCUSDT,JEOP8LMF,145.35619510732917
8Z4LZBAL,lowlow,300.5510567968492,143.85761644522697,543.6456310137202,1450,41,13,28,BTCUSDT,ABDWETP2,139.5415620842514
6FQRBWA0,lowlow,304.02114547157544,139.1253140451291,343.1532719354035,1559,30,11,19,BTCUSDT,CVW4U4YB,176.01224211512263
B6TAN5X4,lowlow,304.49391449628064,140.36945624686862,1453.4600306964785,1569,33,12,21,BTCUSDT,DXE3LCZO,173.9965225693032
J5SU0VIT,lowlow,305.5626482925267,139.90053848182984,348.4995478648195,1484,77,26,51,BTCUSDT,5IXIPU00,155.77703638442537
32O8K8EO,lowlow,305.5626482925267,139.90053848182984,348.4995478648195,1484,77,26,51,BTCUSDT,PDHY9SSS,155.77703638442537
UGH0V8HX,lowlow,306.64087342806573,141.71077947983613,367.51107939711864,1739,29,11,18,BTCUSDT,1TLQTXG4,187.39164487270685
WR7MWEDH,lowlow,306.64087342806573,141.71077947983613,367.51107939711864,1739,29,11,18,BTCUSDT,N5CDMMG7,187.39164487270685
0R0IMLX8,lowlow,308.1444437226013,137.5834385881682,273.0924094203937,1521,36,13,23,BTCUSDT,6YE9GZ5Q,174.16859862581813
O4JAU38Q,lowlow,309.191672054672,144.61315142043824,319.50245806404916,1904,106,33,73,BTCUSDT,95G9ZF13,139.7715777781394
M19FFJ0L,lowlow,310.9509769814519,138.90074947566436,894.9388868944468,1642,33,15,18,BTCUSDT,303I3YUE,259.1258141512099
ESXJO1YE,lowlow,312.01882550185144,136.90044084179146,242.21539501980183,1508,38,16,22,BTCUSDT,CZO3FBYB,226.92278218316468
