strategy,market,balance_i,pnl,balance,bars,close_market,profit,loss,coin,id,trade_index
IWJTV3CI,lowhigh,91.18936954445248,-7.469949840170091,123.52925191881438,423,23,12,11,ETHUSDT,EKEDFWUB,47.577062371018684
PW7AUHZZ,lowhigh,91.18936954445248,-7.469949840170091,123.52925191881438,423,23,12,11,ETHUSDT,YK0XEGK6,47.577062371018684
TY9K7P4J,lowhigh,119.03320346768754,22.688835110694335,911.4250580341061,436,25,10,15,ETHUSDT,D9UZHUVH,47.61328138707502
8SRYGOKQ,lowhigh,119.03320346768754,22.688835110694335,911.4250580341061,436,25,10,15,ETHUSDT,HBMLOIVP,47.61328138707502
DLPHX1SU,lowhigh,143.33389450392772,42.578314949790915,865.8149146025565,494,27,9,18,ETHUSDT,YZJFMGJR,47.777964834642574
U44T5TKR,lowhigh,125.46467846111452,28.196948780994337,29.380543040745785,361,21,8,13,ETHUSDT,3H82FQ3D,47.79606798518648
YMJDH51X,lowhigh,133.7726975643618,35.319140683207124,158.65961372856387,435,25,9,16,ETHUSDT,NA48QHAD,48.15817112317025
OH8XIAHK,lowhigh,139.43290512307394,41.29560247170976,116.65985464105917,633,26,9,17,ETHUSDT,64P0F32P,48.26523638875636
FFT5G42I,lowhigh,133.19344910906167,35.37980513512238,470.1662775277605,420,21,8,13,ETHUSDT,I1XWEY0C,50.74036156535683
V12P92BB,lowhigh,133.19344910906167,35.37980513512238,470.1662775277605,420,21,8,13,ETHUSDT,MWODL79A,50.74036156535683
UJNE9LLM,lowhigh,148.11927993572007,47.25613298935518,1012.5596005998177,512,32,11,21,ETHUSDT,RNSCVS89,50.916002477903774
0R83KW14,lowhigh,148.11927993572007,47.25613298935518,1012.5596005998177,512,32,11,21,ETHUSDT,NXDW31SM,50.916002477903774
RR1R3K52,lowhigh,148.11927993572007,47.25613298935518,1012.5596005998177,512,32,11,21,ETHUSDT,7E940AJD,50.916002477903774
3QHDVM0U,lowhigh,134.56741891221847,36.43952805410611,214.98293223880407,418,21,8,13,ETHUSDT,3D84ZOPJ,51.26377863322608
COEQY2MC,lowhigh,145.11290733022636,46.07541385408111,43.17657224062119,574,25,9,16,ETHUSDT,79W94WVD,52.240646638881486
PL1QEU28,lowhigh,137.28596574211224,38.505680564613776,330.0513112822671,428,21,8,13,ETHUSDT,MSCNR5SD,52.299415520804665
A73LGQU7,lowhigh,137.28596574211224,38.505680564613776,330.0513112822671,428,21,8,13,ETHUSDT,RK775YW1,52.299415520804665
390WVA1S,lowhigh,136.52923297071425,38.51968169371031,501.1757382280815,500,26,10,16,ETHUSDT,38FFPN11,52.51124345027471
MWO3Y7JD,lowhigh,121.45821123856761,28.680047006223344,82.29176227233813,515,30,13,17,ETHUSDT,XQ155A8R,52.63189153671263
BDFUJOFP,lowhigh,153.95026413484482,51.019490165192444,262.9814424685421,455,22,8,14,ETHUSDT,37KT8RYX,55.98191423085266
LKU689PI,lowhigh,153.95026413484482,51.019490165192444,262.9814424685421,455,22,8,14,ETHUSDT,1O7E5Y7M,55.98191423085266
